soru_id,metin_var_mı,metin,soru_kökü,A,B,C,D,E
11,Evet,"(I) Safran safran adlı bitkinin çiçeklerinden elde edilen bir baharattır (II) Safran yapımında kullanılan safran çiçekleri günün yalnızca belli saatlerinde elle toplanır","Bu metindeki numaralanmış cümlelerle ilgili aşağıdakilerden hangisi söylenemez","I cümle özne ve yüklemden oluşmuştur","II cümlenin öge dizilişi özne zarf tamlayıcısı zarf tamlayıcısı yüklem şeklindedir","III cümlede vurgulanan öge nesnedir","IV cümlede zarf tamlayıcısı bir söz öbeğinden oluşmuştur",
12,Evet,"Cümleden çıkarıldığında cümlenin anlamında herhangi bir daralmaya yol açmayan... ara söz denir","Buna göre aşağıdaki cümlelerin hangisinde ara söz farklı bir ögenin açıklayıcısı olmuştur","Bu çiçekleri anneme hayatımdaki en kıymetli insana dün aldım","Dün sabaha karşı saat beş civarı alt kattan yüksek sesler gelmeye başladı","Erman Bey senelerdir özlemini çektiği yere Erzuruma sonunda dönmüştü","Dün akşam ailece evimizin karşısındaki parka Nasrullah Parkına çay içmeye gittik",
13,Evet,"Bazı ögeler ve bu ögeler bulunurken yükleme sorulan bazı sorular verilmiştir: Özne (Kim ne) Nesne (Ne neyi kimi) Yer Tamlayıcısı... Zarf Tamlayıcısı...","Bu bilgilere göre aşağıdakilerin hangisinde soru özneyi buldurmaya yöneliktir","Siz yarından sonra okula ne ile gideceksiniz","Bunca hediyeyi kime aldınız acaba","Kapıdaki adamla ne konuştunuz","Akşam toplantıda alınan kararları sana kim anlattı",
14,Evet,"Kadın komşusunun çamaşır astığını gördüğü her sabah aynı yorumu yapmaya devam etmiş","Aşağıdaki cümlelerden hangisinin öge sıralanışı bu cümle ile özdeştir","Akşam yağan yağmur yolda su birikintileri oluşturmuştu","Eve varmak için kullanılan bu dik yokuşu kışın inmek çok zor","Evin önündeki otomobil bu sabah başka bir yerdeydi","Mahallemizin zeki çocuğu Ahmet gün boyu kütüphanede oturmuş",
15,Evet,"Yer-yön zaman sebep miktar ve araç bildirerek yüklemin anlamını tamamlayan... zarf tamlayıcısı denir","dizelerinin hangisinde zarf tamlayıcısı kullanılmamıştır","I (Bir gün çok uzaklardan / Bir güneş doğmuş)","II (Şöyle bir doğruldu Mustafa Kemal / Kıratının üstünde göklere doğru)","III (O günü görmek için sade bekleyeceğiz / Göreceğiz bir sabah yeşil tomurcukları)","IV (Rıhtımda uyuyan gemi / Hatırladın mı engini)",
16,Evet,"Bir cümle temel ve yardımcı ögelerden oluşur Temel ögeler cümlenin olmazsa olmazıdır","cümlelerinden hangileri ögelerinin dizilişi bakımından aynıdır","I ve II","I ve IV","II ve III","III ve IV",
17,Evet,"Nesne cümlede yüklemin bildirdiği işten etkilenen ögedir","cümlelerinin hangisinde belirtili nesne kullanılmıştır","I (Bizler bugünlerde diğer meslektaşlarımızdan daha şanslıyız)","II (Çünkü bizim öğrencilerimiz okula çok daha fazla aşinadır)","III (Yani bizde diğer meslektaşlarımız gibi okulun ilk günü büyük bir telaş yoktur)","IV (Öğrenci bize gelmeden önce okuma yazmayı çarpım cetvelini ve alfabeyi çoktan öğrenmiştir)",
18,Evet,"Fiil cümlelerinde vurgu yüklemden önceki ögenin üzerindeyken isim cümlelerinde vurgu her zaman yüklemin üzerindedir","Buna göre aşağıdaki metinlerin hangisinde yüklemin vurgulandığı en az bir cümle yer almaktadır","İzmir Saat Kulesine gitmeye karar verdik...","Teknolojik ürünleri kullanırken ölçüsüz ve sınırsız kullanırsak sağlığımızı kaybederiz...","İzlediklerimden ve etkilendiklerimden her zaman sonuna kadar yararlandığımı düşünüyorum...","Bir haftadır tüm sınıf Arda için hazırlık yapıyordu...",
19,Evet,"Birden çok yüklemli ve bağlacı olan cümlelerde bir öge iki yüklem için de ortak öge olarak kullanılabilir","Buna göre aşağıdaki cümlelerin hangisinde özne ortak öge olarak kullanılmıştır","Otobüs henüz yola çıkmadı gelmeyen yolcu bekleniyor","Arkadaşlarımız Mavi Göle gitmişler biz de gitsek ya","Yemeğin tadına baktım annem muhteşem bir lezzet yakalamış","Bu kitap senelerce ellerden düşmeyecek seneler boyu hiç unutulmayacak",
20,Evet,"(I) Vücudumuzun yaklaşık %60ı sudan oluşuyor (II) Yaşam için vazgeçilmez olan su metabolizmamızın sağlıklı çalışması için de gereklidir","Bu metinde numaralanmış cümlelerden hangisi kurallı isim cümlesidir",I,II,III,IV,
21,Evet,"(I) İnsanların sürekli neden şikâyet ettiklerini biliyor musunuz (II) Tüm şikâyetleri çok rahat olmalarındandır bence","Bu metinde numaralanmış cümlelerle ilgili aşağıdakilerden hangisi söylenemez","I cümle fiil cümlesidir","II cümle kurallı cümledir","III cümle fiil cümlesidir","IV cümle kurallı cümledir",
22,Evet,"(I) Okuduğum kitapların oluşturduğu dünya çocukluğuma rağmen omuzlarıma yüklenen köyün zorlu işlerini hafifletiyordu","Bu metinde numaralanmış cümlelerin hangisi devrik olumlu ve fiil cümlesidir",I,II,III,IV,
23,Evet,"(I) Merdivenlere yönelirken az ötedeki menekşeleri kontrol etti (II) Yeşil gökyüzünde parıldayan kadifemsi mor yıldızları andırıyordu (III) Daha aşağıdaki kuyunun kıyısı nergis ve sümbül deryasıydı","Bu metinde numaralanmış cümlelerden hangisi olumsuz isim cümlesidir",I,II,III,IV,
24,Evet,"Aşağıda cümlelerin yapı özellikleriyle ilgili bazı bilgiler verilmiştir (Tek yüklemli, Fiilimsi bulunan, Bağlacı olan)","Buna göre aşağıdaki cümlelerden hangisinin yapı özelliği yay ayraç içinde yanlış verilmiştir","Yabani zeytinler ardıçlar mazılar... (Bağlacı olan)","Bulunduğum kasabanın hemen arkasındaki ormanlık bir dağa çıktım (Fiilimsi bulunan)","Önce fundalıklar sonra çamlar arasında uzun uzun dolaştım (Tek yüklemli)","Gözlerim ova tarafından bulunduğum yere doğru ağır ağır gelen bir şeye takıldı (Fiilimsi bulunan)",
25,Evet,"(I) Acı bir fren sesiyle irkildi dalgın dalgın yürürken kaldırımda (II) Minik yavrusunu göğsüne sımsıkı bastıran bir annenin korku ve endişe dolu gözlerinde buldu aradığını","Bu metinde numaralanmış cümlelerden hangisi devrik isim cümlesidir",I,II,III,IV,
26,Evet,"Öykülerinde genellikle sıradan insanların yaşamını anlatan Ömer Seyfettin modern öykücülüğümüzün öncülerindendir","Bu cümlenin özellikleri aşağıdakilerin hangisinde doğru olarak verilmiştir","Fiilimsi bulunan - kurallı - olumlu - fiil","Tek yüklemli - devrik - olumlu - isim","Fiilimsi bulunan - kurallı - olumlu - isim","Tek yüklemli - kurallı - olumsuz - isim",
27,Evet,"(I) Bursanın tarihî sokaklarının birinde bir küçük dükkâna takılıyor gözlerim (II) El işleri ile dolu vitrini görünce kapısına dayanıyorum (III) Burası Esnaf Kadınlar Yardımlaşma Dayanışma Derneğinin merkeziymiş meğer","Bu metinde numaralanmış cümlelerden hangisi devrik isim cümlesidir",I,II,III,IV,
28,Evet,"Bağlacı olan cümle bağlaçlar ile birbirine bağlanmış birden fazla cümleden oluşmaktadır","Bu bilgilere göre aşağıdakilerin hangisi bağlacı olan cümledir","Bazı anne ve babalar çocuklarına ders konusunda oldukça baskı yapıyor","Hem ailesini hem de arkadaşlarını bırakıp gitmek onun için çok zor","Elif kendisini kitaplığın rafında buldu birdenbire fakat sanki raf kocaman olmuştu","Arabası ile evini satıp iki oğlu arasında paylaştırdı",
29,Evet,"(I) Bu manzara bu mevsim bu sessizlik beni alıp çocukluğumun geçtiği köye götürdü (II) Köyde de koyunları otlatırken köyün en büyük ağacının altında oturur sessizliği yani huzuru dinlerdim","Bu metinde numaralanmış cümlelerle ilgili verilen bilgilerden hangisi doğrudur","I cümle birden çok yüklemlidir","II cümle öznesi ortak birden çok yüklemli cümledir","III cümle bağlacı olan cümledir","IV cümle tek yüklemli cümledir",
30,Evet,"I Çok heyecanlıydı sanırım anne olacağı için II Yeni belediye başkanı ilçede büyük bir kütüphane yapacağını söyledi III Masada sadece iki ekmek ufak bir kâsede de beyaz peynir vardı IV Yeni çıkan albümlerin çoğunu piyasaya çıkar çıkmaz alırdı","Numaralanmış cümlelerden hangileri kurallı fiil cümlesidir","I ve II","I ve III","II ve IV","III ve IV",
31,Evet,"Biraz yürüdü soluklanmak için yol kenarındaki otobüs duraklarından birine oturdu","cümlesinin yapıca özdeşi aşağıdakilerden hangisidir","Gazete bayisinden bir gazete aldı bir çay ocağına oturdu","Başlarda hoşuna gitmişti bu durum ancak zamanla hiçbir şeye karşı direnç gösteremez hâle gelmişti","Güneşli bir Erzurum sabahında eşiyle birlikte yürüyüşe çıkmışlardı","Gençler inşaatın etrafında toplanıp olan biteni izliyor",
32,Evet,"Tek yüklemli cümle Fiilimsi bulunan cümle Birden fazla yüklemi olan cümle Bağlacı olan cümle açıklamaları","Bu bilgilere göre numaralanmış cümlelerden hangisi yapısı bakımından farklıdır","I (İlçemizdeki kaymakamlık binası eski olduğu gerekçesiyle yıkıldı)","II (Yaz mevsiminde bizim bahçenin güzelliğini mutlaka görmelisiniz)","III (Bizi Adanaya götürecek arabaya yetişmek için acele etmeliyiz)","IV (Burada yolcuların ihtiyaçlarını giderebilecekleri alışveriş noktaları bulunmaktadır)",
33,Evet,"Türkçede yüklemin yerine göre kurallı ve devrik cümleler vardır açıklaması","Buna göre numaralanmış cümlelerden hangisi yüklemin yerine göre diğerlerinden farklıdır","I (Rasim bir akşam okuldan döndüğü vakit kendi ismine gelmiş bir zarf buldu)","II (Kapının aralığından bir çift siyah göz ona bakıyordu şimdi)","III (Bir çift siyah göz onun gözleriyle buluşunca biraz daha açtı kapıyı)","IV (Penceresi binanın iç avlusuna bakan yarı aydınlık bir odaya geçtiler babası gelince)",
34,Evet,"Birden çok yüklemli cümlelerde ögelerden herhangi biri ya da birden fazlası ortak olarak kullanılabilir","Buna göre aşağıdakilerin hangisi yer tamlayıcısı ortak birden çok yüklemli cümledir","Yeni doğan bebeğini kucağına aldı ve dakikalarca sevdi","Geçen sene akrabalarımızdan birkaçı Karadeniz turuna gitti biz de gidelim","Müfettişler değerlendirme raporlarını dün getirdiler ancak inceleme fırsatım olmadı","Yamurlu hava günlerce sürdü kimse dışarı adım atamadı",
35,Evet,"Edilgen fiilin olduğu cümlelerde özne yüklemin bildirdiği işi yapmaz başkasının yaptığı işten etkilenir","Bu açıklamaya göre aşağıdaki cümlelerin hangisinde edilgen çatılı fiil yoktur","Babasını karşısında görünce dayanamayarak hemen ona sarıldı","Ünlü yazar hava alanında coşkuyla karşılandı","Mahallenin bütün sokakları her sabah süpürülüyor","Bakkal soyan hırsızlar kısa sürede yakalanmış",
36,Evet,"Sevgi çok renkli bir çiçektir fakat korkunç uçurumların kenarında yetişir","Bu cümledeki yüklemle özdeş çatı özelliği aşağıdakilerin hangisinde vardır","Derse gelmeyen çocuk futbol oynamaya gitmiş","Bu yılki kutlamaları da kazasız belasız atlattık","Bu karar bize sorulmadan dün gece alınmış","Bu olay birçok şeyin gün yüzüne çıkmasını sağladı",
37,Evet,"Bir cümlede işin kim tarafından yapıldığı biliniyorsa bu fiil etken çatılıdır","Aşağıdaki cümlelerden hangisinde bu açıklamaya uygun bir fiil kullanılmıştır","Biz de her insan gibi mutlu olmaya çalışmalıyız","Bu yılki TÜBİTAK için hazırladığımız projeler çok beğenildi","Piyasaya yeni giren ürünler tek tek sayıldı","Başarılı olan öğrencilere hediyeler törenle verildi",
38,Evet,"Yetkin sanatçılar içinde bulunduğu çağı daha çok güzelleştirmek isteyenlerin arasından çıkar (I)... aktarmaz (II)... katar (III)... yoğurur (IV)","Bu metindeki altı çizili fiiller nesne-yüklem ilişkisine göre gruplandırıldığında hangisi dışarıda kalır",I,II,III,IV,
39,Evet,"I Babaannem iyilik meleklerinin insanın sağ... olduğunu anlatır II İlkbaharda kuzeye gelen kuşlar... geçirir III Çarpışma neticesinde plakaların kıvrılması... yeryüzü şekilleri oluşur IV Annem... kestirirdi","Numaralanmış cümlelerden hangisi nesne-yüklem ilişkisi bakımından diğerlerinden farklıdır",I,II,III,IV,
40,Evet,"Öznesi yani işi yapanın belli olmadığı fiiller edilgen fiillerdir","Buna göre aşağıdaki cümlelerin hangisinde eylemi yapan belli değildir","Uzun bir aradan sonra ilk kez görüştük","Bu fırsatlar bir daha karşımıza çıkmayabilir","Kuşlar havada coşkuyla süzülüyordu","Yeni gelen kargolar dağıtıma çıkarıldı",
41,Evet,"I Sizi gördüğüme gerçekten çok sevindim II Her gece yatmadan önce balkonda oturup düşünür III Kaç gündür ev işlerinden dolayı markete gidemiyorum IV İzmir’e gidip bu işi halledecek gönüllü birini bulamadık","Numaralanmış cümlelerin hangisinde eylem geçişli olduğu hâlde cümlede nesne kullanılmamıştır",I,II,III,IV,
42,Evet,"I 23 Nisan törenini kameraya kaydettim II Bugünün yoklaması bir ders önce alındı","Bu cümleler ile ilgili aşağıdakilerden hangisi söylenebilir","Birinci cümle etken ikinci cümle geçişlidir","İki cümle de geçişlidir","Birinci cümle etken ikinci cümle edilgendir","Birinci cümle geçişsiz ikinci cümle geçişlidir",
43,Evet,"(I) Cahit Külebinin üzüntüsü de kederi de millî sanattan gelir (II) Yurdun perişanlığını... şiirlerinde işler","Bu metinde numaralanmış cümlelerden hangisinin yüklemi etken ve geçişsizdir",I,II,III,IV,
44,Evet,"Hititler demiri eritmeyi başarıp bundan çeşitli eşyalar üretmişler (I)... tahmin ediliyor (II)... erir (III)... başlamışlar (IV)","Bu metinde numaralanmış fiillerle ilgili aşağıdakilerden hangisi yanlıştır","I fiil nesnesine göre geçişli bir fiildir","II fiil nesnesine göre geçişsiz bir fiildir","III fiil öznesine göre edilgen bir fiildir","IV fiil öznesine göre etken bir fiildir",
45,Evet,"Güller kurudu cümlesinde kurudu sözcüğü çekimli fiildir... Kuruyan gülleri çöpe attı cümlesinde kuruyan sıfat-fiildir","Bu açıklamaya göre aşağıdaki cümlelerin hangisinde sıfat-fiil kullanılmıştır","Dostlarımın son zamanlardaki soğuk davranışları dikkatimi çekiyor","Fırtına dinince okuldaki arkadaşlarımla buluştuk","Ağacın kırılmış dallarını toplayıp bir kenara bıraktı","Balık tutabilmek için sabırla beklemek gerekiyor",
46,Evet,"Yemek pişmiş cümlesinde pişmiş çekimli fiildir... Pişmiş aşa su katılmaz cümlesinde pişmiş sıfat-fiildir","Bu açıklamaya göre aşağıdaki cümlelerin hangisinde sıfat-fiil kullanılmamıştır","Öfke ve nefret dolu olduğun anlarda kimseyle muhatap olma","Hayat hızla akıp giderken zamanı iyi değerlendiriyor muyuz acaba","Yaşar Kemal evrensel kimlik kazanmış bir yazarımızdır","Okul arkadaşından gelen mektupla epey duygulanmıştı",
47,Evet,"(I) Kumda yavaşça ayaklarını sürüdü (II) Ay ışığı alnına minik buseler kondururken rüzgâr da... kayıp giden (III)...","Bu metinde numaralanmış cümlelerin hangilerinde sıfat-fiil kullanılmıştır","I ve II","I ve IV","II ve III","III ve IV",
48,Evet,"Sıfat-fiil eki alan bir sözcüğün önündeki isim düşerse o sıfat-fiil adlaşır","Bu açıklamaya göre aşağıdaki cümlelerin hangisinde adlaşmış sıfat-fiil kullanılmıştır","Bana göre çok gezen değil çok okuyan bilir","Her şeyi bırakıp bilinmez diyarlara gideceğim diyor","Dönülmez akşamın ufkundayız vakit çok geç","Doksan dakika boyunca sahada basmadık yer bırakmadı",
49,Evet,"(I) Ülkemizdeki sanat eserlerinde ne yazık ki samimiyet biraz eksik kalmıştır (II) Hiçbir yazar veya şair... başaramamıştır (III) Okurun hoşuna gitsin diye samimi olmaya çalıştıklarının farkındayım (IV) İlettikleri duygularda okura insan olmanın verdiği duyarlılığı yansıtmaları yeterlidir","Bu metindeki numaralanmış cümlelerle ilgili aşağıda verilenlerden hangisi yanlıştır","I cümlede fiilimsi kullanılmamıştır","II cümlede isim-fiile yer verilmiştir","III cümlede birden fazla fiilimsiye yer verilmiştir","IV cümlede zarf-fiil kullanılmıştır",
50,Evet,"Fiilimsiler isim-fiil sıfat-fiil ve zarf-fiil olmak üzere üçe ayrılır açıklaması","Bu açıklamaya göre cümlelerinde geçen fiilimsiler tür yönüyle gruplandırılırsa hangisi dışarıda kalır","I (Perşembenin gelişi çarşambadan bellidir)","II (Taşıma su ile değirmen dönmez)","III (Bal bal demekle ağız tatlanmaz)","IV (Canı yanan eşek atı geçer)",
51,Evet,"İnanmak istemeyeni hiçbir mantık inandıramaz","Bu cümledeki altı çizili fiilimsiyle özdeş olan fiilimsi aşağıdakilerin hangisinde vardır","Siz kendinize inanın başkaları da size inanacaktır","İnançlar öğrenmenin önünde engel oluşturamaz","İnsan en az bildiği şeye en çok inanır","İnsanlar kulaklarına gözlerinden daha fazla inanır",
52,Evet,"Bazı sözcükler isim-fiil eki aldığı hâlde kalıplaşarak bir varlığın kavramın ismi olur... kazmaya (fiilimsi) kazmayı (isim)","Buna göre aşağıdakilerin hangisinde fiilimsi eki aldığı hâlde kalıplaşarak bir varlığı veya kavramı karşılayan sözcük yoktur","Bidonların dolması için daha ne kadar bekleyeceğiz","Yarışmanın kurallarını bir saat içinde sizlere bildireceğim","Eline aldığı çakmakla oynaması beni tedirgin etti","Merak ettiğiniz soruları ikinci kattaki danışmaya sorabilirsiniz",
53,Evet,"Fiillere birtakım ekler getirilerek yapılan ve cümlede isim sıfat ve zarf görevi üstlenen sözcüklere fiilimsi denir","Buna göre cümlelerinde kullanılan fiilimsilerden hangisinin türü yay ayraç içinde yanlış verilmiştir","I (Zarf-fiil)","II (Sıfat-fiil)","III (İsim-fiil)","IV (Zarf-fiil)",
54,Evet,"Bazı sözcükler sıfat-fiil eklerini alarak kalıcı isim olur ve fiilimsi özelliğini kaybeder Dolmuş örneği verilmiş","Buna göre aşağıdaki cümlelerin hangisinde sıfat-fiil eki aldığı hâlde kalıplaşarak bir varlığı veya kavramı karşılayan bir sözcük vardır","Dün akşam caddede koşar adımlarla yürüyordu","Bu ailenin yakacak ihtiyacını belediye karşılamış","Gelecek sene hayatının en önemli sınavına girecek","Memleketten dönen aile evde beklemedikleri bir manzarayla karşılaştı",
55,Evet,"Türkçemizde yer alan -ken eki çeşitli görevlerde kullanılmıştır Fiil kök ve gövdelerinin üzerine gelerek zaman anlamında belirttiğinde zarf-fiil isimlerin üzerine... zaman zarfı...","Buna göre aşağıdaki cümlelerde altı çizili sözcüklerden hangisi zarf-fiildir","Sıkılgan yapısı nedeniyle hiçbir işte dikiş tutturamadı","Seninleyken zamanın nasıl geçtiğini bilemiyorum","Ormanda gezinirken birçok yabanî hayvanla karşılaştık","Annesi yapışkan maddelerle oynamasına izin vermiyordu",
56,Evet,"İsim-fiil eki -ma/-me olumsuzluk ekiyle karıştırılmamalıdır","Buna göre aşağıdaki cümlelerde altı çizili sözcüklerden hangisi olumsuzluk eki almıştır","Kömürleri taşıma işi bana ve babama kaldı","İki saat sonra iş görüşmesi için buraya gelecek","Ağır eşyaları sen kaldırma diye defalarca söyledim","Nöbetçi asker dağların eteklerini gözetlemeye devam ediyor",
57,Evet,"Bazı fiilimsi ekleri zaman ekleriyle karıştırılabilir açıklaması","Buna göre aşağıdaki cümlelerin hangisinde -mış/-miş/-muş/-müş eki eklendiği sözcüğü sıfat-fiil yapmıştır","Usta yazarın saçları görmeyeli bayağı ağarmış","Morarmış kolunu saklamak istediği belli oluyordu","Dün akşam yaktığımız ateş sönmüş sabaha karşı","Elindeki Orhan Veli şiirlerini herkese okumuş",
58,Evet,"Ayağa kalkabilmek için muhtacız dengeye... Denge yürüyebilmektir belki de kaygan bir zeminde... Çıkılamaz mı bunun dışına","Bu metinde geçen fiilimsilerin sayısı aşağıdakilerin hangisinde doğru verilmiştir (İsim-fiil Sıfat-fiil Zarf-fiil)","2 - 2 - 1","2 - 1 - 1","1 - 1 - 1","1 - 2 - 2",
59,Evet,"İnsan düşündükçe (I) var olmaktadır Düşünmek sorgulamak ve irdelemekle (II) mümkündür Sorgulamaktan kaçan (III) bir kişinin... açık olması (IV) gerekmektedir","Bu metindeki numaralanmış sözcüklerle ilgili aşağıdakilerden hangisi yanlıştır","I sözcük zarf-fiildir","II sözcük isim-fiir","III sözcük sıfat-fiildir","IV sözcük çekimli fiildir",
60,Evet,"Aşağıdaki cümlelerin hangisinde altı çizili sözcük yay ayraç içinde verilen kavrama uygun bir örnek değildir","Bahçeyi kazmaya (İsim-fiil) / Elindeki kazmayla (Kalıcı ad)","Yarışmanın (İsim-fiil) / Seninle yarışmaya (Kalıcı ad)","çıkış yapan (İsim-fiil) / çıkış kapısının (Kalıcı ad)","dolmasını (İsim-fiil) / dolmaları (Kalıcı ad)",
61,Evet,"Bana bir şey olursa diye korktum... Oturup siyah portakallar yedim... Hislerimin uzağına düştüm...","Bu şiirde yer alan fiilimsilerle ilgili hangisi söylenebilir","Sadece zarf-fiillere yer verilmiştir","İsim-fiil ve zarf-fiiller bir arada kullanılmıştır","İsim-fiil eki aldığı hâlde bir varlığın kalıcı adı hâline gelen sözcük vardır","Sıfat-fiil kendisinden sonra gelen ismi niteleyerek tamlama oluşturmuştur",
62,Evet,"Sıfat-fiiller niteledikleri isim düştüğünde ismin yerine geçerek isim gibi kullanılır Buna adlaşmış sıfat-fiil denir","Buna göre cümlelerinin hangilerinde adlaşmış sıfat-fiil kullanılmıştır","I (Bekleyenleri sıra ile içeri almamız gerekiyor)","II (Bilinmez diyarlara doğru yola çıktık seninle)","III (Öğretmenimiz Önce bildiklerinizi yanıtlayın diye bizi uyardı)","I ve III",
63,Evet,"Fiillerden türeyen ve cümlede isim sıfat ve zarf görevinde kullanılan ancak fiiller gibi çekimlenemeyen sözcüklere fiilimsi denir","Buna göre aşağıdaki cümlelerin hangisinde tüm fiilimsi türlerine yer verilmiştir","Öykü başlar başlamaz bizi içine çekiyorsa iyi bir öyküdür","Bu konuda onunla görüş ayrılığına düşünce araya aile fertleri girdi","Her canlı sorunlarla başa çıka çıka tecrübe sahibi olmayı başarır","Etrafındaki kişileri mutlu etmek için uğraşan insanlar sonunda tükenip giderler",
64,Evet,"Kalıcı isme yer verilmiştir Zarf-fiil cümleye zaman anlamı katmıştır İsim-fiil kullanılmamıştır","Aşağıdaki metinlerden hangisi verilen özelliklerin tümünü karşılamaktadır","Bir gün denizde balık tutan bir avcı...","Yine dolmuş durur durmaz ayaklandım...","Sıradan bir ayakkabı...","Albatroslar kutuplara yakın bölgelerde yaşayan deniz kuşları...",
